time,x,y,z
1682085619264778439,-2.5613254017990714,-35.262017600843166,0.11912976959908751
1682085619767470028,-2.5696327210314105,-35.25524384670477,0.12826182777594053
1682085620264872846,-2.5664494710598005,-35.22996024645647,0.12714860354963034
1682085620765477934,-2.5535634941718666,-35.23339404484767,0.13338542577421839
1682085621266170055,-2.555964191573623,-35.23801332023158,0.13080744885571133
1682085621771104909,-2.5696848734542903,-35.22284851955855,0.1281972120000412
1682085622264626322,-2.5810543934901147,-35.220104561634585,0.13407287738208978
1682085622766876547,-2.5724743348132226,-35.20784927244889,0.1393074856154172
1682085623265003203,-2.5707428090398774,-35.201200028173595,0.14601063467889042
1682085623767340418,-2.6229129205656756,-35.22632377422158,0.2041080443763928
1682085624264618309,-2.6726774111334612,-35.232030594428515,0.30866994356637745
1682085624764687953,-2.699725856365312,-35.19439332362609,0.49520773630131143
1682085625264755270,-2.7098574050267907,-35.214134951163444,0.7426599959599947
1682085625772521707,-2.730915146627304,-35.253128126022176,1.0532526175840236
1682085626264658366,-2.7416558324690268,-35.25785364160858,1.4588886904938458
1682085626764844788,-2.731606230961687,-35.201027977164145,1.8566942733344383
1682085627264741526,-2.6998993006167056,-35.18866410168451,2.1709245457836515
1682085627766978399,-2.677392128631036,-35.17936099179617,2.4020108210064506
1682085628264727313,-2.675611280372409,-35.18418712831948,2.5656444898702486
1682085628766055457,-2.6963277298223636,-35.18266503056261,2.652203475258599
1682085629264941917,-2.6975143594849933,-35.170298951794955,2.659408968177538
1682085629767031601,-2.7127648192402343,-35.166260690644904,2.6459909826654973
1682085630264660767,-2.720071792420436,-35.195919100656795,2.644123836503496
1682085630765820177,-2.7161872615279026,-35.22999040610662,2.6421014633213766
1682085631264695928,-2.691322623884262,-35.251491989947546,2.641564176406563
1682085631769821713,-2.552487761489322,-35.213298053548684,2.774384660589691
1682085632264709914,-2.225785921515135,-35.20189748456616,3.1230542404066988
1682085632764807122,-1.960434262610802,-35.1801601540739,3.4710010610032724
1682085633264761527,-1.7873780694520258,-35.13100212881305,3.7328250774689757
1682085633765932285,-1.618465016944971,-35.142126636011696,3.8567066575723254
1682085634264758789,-1.4598666521759807,-35.087940589907305,3.9309151532736464
1682085634765123842,-1.3221190778609442,-35.0685772639906,3.9637403740685953
1682085635264646567,-1.1682994770851014,-35.04908079341155,3.979467649442916
1682085635766134751,-1.0778987069019113,-35.06463914604216,3.9841074530121126
1682085636265597006,-1.062365425980476,-35.08048467254522,3.9750134557653016
1682085636764695723,-1.0335251272296224,-35.0662425916412,3.9806399342823413
1682085637265001538,-1.0274726773026497,-35.03570086679801,3.998724437885062
1682085637769890055,-1.027337511729492,-35.02779314556696,3.9909357301283452
1682085638265929083,-1.0294618797892086,-35.01308392939358,3.9989928343906
1682085638768526041,-1.0018492316512777,-35.039653808183445,4.00553599608659
1682085639264751289,-1.0186906940170208,-35.06956730730795,4.005853817088439
1682085639772336535,-1.000223223205914,-35.03573077534401,4.004564712601233
1682085640264770948,-0.9555798377104745,-35.0431174615586,4.001240396142113
1682085640764819455,-0.9219581807741278,-35.04813603147198,3.9759022143577814
1682085641264741507,-0.9192902381908227,-35.02001974002197,3.9895845328037627
1682085641766812838,-0.8949575652012525,-35.05063514742621,3.993255306570278
1682085642264739494,-0.903462692436064,-35.107701647582736,3.9962233219853194
1682085642764745537,-0.8926239174323071,-35.11265708084333,4.00277569192113
1682085643264647648,-0.834750073918826,-35.09642739711483,4.004932116027891
1682085643766644586,-0.7787028537469167,-35.07437486299833,4.008616387483729
1682085644264756019,-0.7806686287010978,-35.066025182825406,4.000412741191099
1682085644765583229,-0.7907485621588937,-35.04871475609201,4.014815481112751
1682085645264731469,-0.7915196598876483,-34.998911795989095,4.025443000365748
1682085645765690713,-0.7596263633416531,-34.95142412522665,4.025089804999536
1682085646264650078,-0.7249625283900965,-34.94561080749723,4.025960840376192
1682085646767396504,-0.7242172265188713,-34.96659793350951,4.0160944586764815
1682085647264678286,-0.6957195376815442,-34.97021407191247,4.0184780940643
1682085647765099188,-0.6745355070267587,-34.98125963202445,4.015477841287649
1682085648264734659,-0.6477495123885942,-34.972024236581866,4.018968191456866
1682085648765585488,-0.656067578151804,-35.004737525060946,4.020857915497074
1682085649264624539,-0.6951855753951862,-35.03934358644066,4.007882380985655
1682085649766656703,-0.6918673470430212,-35.01268455308045,4.009745102425298
1682085650264849921,-0.6656151444607009,-35.01236975870216,4.0088033161707
1682085650766342060,-0.6669769666332548,-35.03147457850043,4.003573700337552
1682085651265053267,-0.6709472436797449,-35.02274882206433,4.005510516383997
1682085651767942552,-0.6650210033681399,-35.014221692420314,4.0006625498169015
1682085652264672275,-0.6387627429771434,-35.01479420511322,3.999423193467135
1682085652766779977,-0.6348246658520487,-35.02031686423269,3.9967946276763198
1682085653265292448,-0.645887427438039,-35.03999829910729,3.9960044084958843
1682085653767586988,-0.6473640022104945,-35.063167377990695,3.9955849937899233
1682085654264980209,-0.6658118416467228,-35.081025683328704,3.9920685197561565
1682085654768721441,-0.6621362403815539,-35.07045400177055,3.9832341400964837
1682085655264815100,-0.6613491689784614,-35.09029406483261,3.983960632616963
